PROGRESSIVO;CITTADINANZA_DESC;TIPO_CITTADINANZA_DESC;FACOLTA_DESC;CDS_DESC;TIPO_CORSO_DES;TipoAbbomanento;COMUNE_RESIDENZA_DESC;PROVINCIA_RESIDENZA_DESC;REGIONE_RESIDENZA_DESC;NAZIONE_RESIDENZA_DESC
1;ITALIA;Italiana;Corsi di Dottorato;Materiali, meccatronica e ingegneria dei sistemi;Corso di Dottorato;OpenMove;Gazzo Veronese;Verona;Veneto;ITALIA
2;ITALIA;Italiana;Corsi di Dottorato;Materiali, meccatronica e ingegneria dei sistemi;Corso di Dottorato;OpenMove;Roma;Roma;Lazio;ITALIA
3;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OldSmartCard;VILLE D’ANAUNIA;Trento;Trentino Alto Adige;ITALIA
4;ITALIA;Italiana;Corsi di Dottorato;Scienze Biomolecolari;Corso di Dottorato;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
5;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Materials and production Engineering - Ingegneria dei materiali e della produzione;Corso di Laurea Magistrale;OpenMove;Villafranca di Verona;Verona;Veneto;ITALIA
6;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;NewSmartCard;Roma;Roma;Lazio;ITALIA
7;ITALIA;Italiana;Dipartimento di Economia e Management;Management;Corso di Laurea Magistrale;OldSmartCard;Capurso;Bari;Puglia;ITALIA
8;ITALIA;Italiana;Dipartimento di Economia e Management;Management;Corso di Laurea Magistrale;OldSmartCard;Mola di Bari;Bari;Puglia;ITALIA
9;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
10;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Meccatronica;Corso di Laurea Magistrale;OldSmartCard;San Benedetto Po;Mantova;Lombardia;ITALIA
11;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Materials and production Engineering - Ingegneria dei materiali e della produzione;Corso di Laurea Magistrale;OldSmartCard;PREDAIA;Trento;Trentino Alto Adige;ITALIA
12;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Meccatronica;Corso di Laurea Magistrale;OldSmartCard;Belluno;Belluno;Veneto;ITALIA
13;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OldSmartCard;Grigno;Trento;Trentino Alto Adige;ITALIA
14;ITALIA;Italiana;Dipartimento di Matematica;Matematica;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
15;ITALIA;Italiana;Corsi di Dottorato;Studi giuridici comparati ed europei;Corso di Dottorato;OpenMove;Venezia;Venezia;Veneto;ITALIA
16;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;NewSmartCard;Rozzano;Milano;Lombardia;ITALIA
17;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;NewSmartCard;Ascoli Piceno;Ascoli Piceno;Marche;ITALIA
18;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;NewSmartCard;L'Aquila;L'Aquila;Abruzzo;ITALIA
19;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Grezzana;Verona;Veneto;ITALIA
20;ITALIA;Italiana;Corsi di Dottorato;Scienze Biomolecolari;Corso di Dottorato;OpenMove;Buia;Udine;Friuli Venezia Giulia;ITALIA
21;ITALIA;Italiana;Corsi di Dottorato;Scienze Biomolecolari;Corso di Dottorato;OpenMove;Ancona;Ancona;Marche;ITALIA
22;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria civile, ambientale e meccanica;Corso di Dottorato;OpenMove;Roma;Roma;Lazio;ITALIA
23;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria civile, ambientale e meccanica;Corso di Dottorato;NewSmartCard;Carlentini;Siracusa;Sicilia;ITALIA
24;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria civile, ambientale e meccanica;Corso di Dottorato;OpenMove;Garda;Verona;Veneto;ITALIA
25;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria civile, ambientale e meccanica;Corso di Dottorato;NewSmartCard;Monteriggioni;Siena;Toscana;ITALIA
26;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Molveno;Trento;Trentino Alto Adige;ITALIA
27;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;NewSmartCard;Potenza;Potenza;Basilicata;ITALIA
28;ITALIA;Italiana;Corsi di Dottorato;Matematica;Corso di Dottorato;OpenMove;Vigonza;Padova;Veneto;ITALIA
29;ECUADOR;Extracomunitaria;Corsi di Dottorato;Scienze Biomolecolari;Corso di Dottorato;OpenMove;Lucca;Lucca;Toscana;ITALIA
30;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OpenMove;Modena;Modena;Emilia-Romagna;ITALIA
31;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Materials and production Engineering - Ingegneria dei materiali e della produzione;Corso di Laurea Magistrale;OldSmartCard;Cles;Trento;Trentino Alto Adige;ITALIA
32;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;OldSmartCard;Quartu Sant'Elena;Cagliari;Sardegna;ITALIA
33;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
34;ITALIA;Italiana;NON PREVISTA;Scienze Cognitive;Corso di Dottorato (D.M.45/2013);NewSmartCard;Bari;Bari;Puglia;ITALIA
35;ITALIA;Italiana;NON PREVISTA;Scienze Cognitive;Corso di Dottorato (D.M.45/2013);OpenMove;Castellammare del Golfo;Trapani;Sicilia;ITALIA
36;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Negrar;Verona;Veneto;ITALIA
37;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;San Giovanni Lupatoto;Verona;Veneto;ITALIA
38;ITALIA;Italiana;Dipartimento di Economia e Management;Management;Corso di Laurea Magistrale;OldSmartCard;Rovigo;Rovigo;Veneto;ITALIA
39;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria dell'Informazione e delle Comunicazioni;Corso di Laurea;NewSmartCard;Rodi Garganico;Foggia;Puglia;ITALIA
40;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;OpenMove;Pocenia;Udine;Friuli Venezia Giulia;ITALIA
41;ITALIA;Italiana;Dipartimento di Economia e Management;Finanza;Corso di Laurea Magistrale;OpenMove;Sarmede;Treviso;Veneto;ITALIA
42;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;Isola della Scala;Verona;Veneto;ITALIA
43;ITALIA;Italiana;Dipartimento di Economia e Management;Finanza;Corso di Laurea Magistrale;OpenMove;Lizzanello;Lecce;Puglia;ITALIA
44;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;Udine;Udine;Friuli Venezia Giulia;ITALIA
45;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
46;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;Masciago Primo;Varese;Lombardia;ITALIA
47;ITALIA;Italiana;Centro interdipartimentale Mente/Cervello- CIMeC ;Cognitive Science - Scienze Cognitive;Corso di Laurea Magistrale;NewSmartCard;Roma;Roma;Lazio;ITALIA
48;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Metodologia, Organizzazione e Valutazione dei Servizi Sociali;Corso di Laurea Magistrale;OpenMove;Fontanelle;Treviso;Veneto;ITALIA
49;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Informatica;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
50;STATI UNITI D'AMERICA;Extracomunitaria;Dipartimento di Sociologia e Ricerca Sociale;Sociology and social research - Sociologia e ricerca sociale;Corso di Laurea Magistrale;OpenMove;-;-;-;STATI UNITI D'AMERICA (USA)
51;ALBANIA;Extracomunitaria;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Edile-Architettura;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
52;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OpenMove;Levico Terme;Trento;Trentino Alto Adige;ITALIA
53;ITALIA;Italiana;Dipartimento di Economia e Management;Amministrazione Aziendale e Diritto;Corso di Laurea;OpenMove;Pinerolo;Torino;Piemonte;ITALIA
54;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia e linguaggi della modernità;Corso di Laurea Magistrale;OpenMove;Pegognaga;Mantova;Lombardia;ITALIA
55;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;NewSmartCard;Bolzano;Bolzano;Trentino Alto Adige;ITALIA
56;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia e linguaggi della modernità;Corso di Laurea Magistrale;NewSmartCard;Azzano Decimo;Pordenone;Friuli Venezia Giulia;ITALIA
57;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OpenMove;Mola di Bari;Bari;Puglia;ITALIA
58;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OpenMove;Bassano del Grappa;Vicenza;Veneto;ITALIA
59;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
60;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Montagnana;Padova;Veneto;ITALIA
61;CECA, REP.;Comunitaria;Scuola di studi Internazionali;EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI ;Corso di Laurea Magistrale;OpenMove;-;-;-;CECA REPUBBLICA
62;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
63;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Castello-Molina di Fiemme;Trento;Trentino Alto Adige;ITALIA
64;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Beni culturali;Corso di Laurea;OpenMove;Belluno;Belluno;Veneto;ITALIA
